dice,iou,sensitivity,tp,fp,fn,case,slice,score,prompt,gt_voxels,pred_voxels
0.00014667057788207686,7.334066740007334e-05,0.0029239766081871343,1,13293,341,BraTS2021_00003,80,8.3454260675353e-06,brain tumor,342,13294
0.0,0.0,0.0,0,14651,454,BraTS2021_00003,81,2.7280242647975683e-05,brain tumor,454,14651
0.2508038585209003,0.14338235294117646,0.14338235294117646,78,0,466,BraTS2021_00003,82,0.0004957970813848078,brain tumor,544,78
0.2728476821192053,0.1579754601226994,0.1579754601226994,103,0,549,BraTS2021_00003,83,0.0012409818591549993,brain tumor,652,103
0.35625704622322435,0.2167352537722908,0.2167352537722908,158,0,571,BraTS2021_00003,84,0.0009451879886910319,brain tumor,729,158
0.3960591133004926,0.24692874692874692,0.24692874692874692,201,0,613,BraTS2021_00003,85,0.00032015235046856105,brain tumor,814,201
0.48006785411365566,0.3158482142857143,0.3158482142857143,283,0,613,BraTS2021_00003,86,0.000340849015628919,brain tumor,896,283
0.4943502824858757,0.32833020637898686,0.32833020637898686,350,0,716,BraTS2021_00003,87,7.247933535836637e-05,brain tumor,1066,350
0.49572649572649574,0.32954545454545453,0.32954545454545453,406,0,826,BraTS2021_00003,88,7.841414480935782e-05,brain tumor,1232,406
0.5068783068783069,0.33947554925584694,0.33947554925584694,479,0,932,BraTS2021_00003,89,9.464730101171881e-05,brain tumor,1411,479
0.5123106060606061,0.3443666454487588,0.3443666454487588,541,0,1030,BraTS2021_00003,90,5.0937429477926344e-05,brain tumor,1571,541
0.5126859142607174,0.3447058823529412,0.3447058823529412,586,0,1114,BraTS2021_00003,91,2.5359013307024725e-05,brain tumor,1700,586
0.5153625563293732,0.34713024282560706,0.34713024282560706,629,0,1183,BraTS2021_00003,92,1.6716441677999683e-05,brain tumor,1812,629
0.5226130653266332,0.35374149659863946,0.35374149659863946,676,0,1235,BraTS2021_00003,93,4.264571543899365e-05,brain tumor,1911,676
0.5427836944546456,0.37247983870967744,0.37247983870967744,739,0,1245,BraTS2021_00003,94,2.0140852939221077e-05,brain tumor,1984,739
0.5428571428571428,0.37254901960784315,0.37254901960784315,760,0,1280,BraTS2021_00003,95,2.0903318727505393e-05,brain tumor,2040,760
0.5395381385584325,0.36942980354575944,0.36942980354575944,771,0,1316,BraTS2021_00003,96,2.201022653025575e-05,brain tumor,2087,771
0.5362819626814098,0.3663833805476865,0.3663833805476865,776,0,1342,BraTS2021_00003,97,2.9279073714860715e-05,brain tumor,2118,776
0.5255972696245734,0.35648148148148145,0.35648148148148145,770,0,1390,BraTS2021_00003,98,2.9063741749268956e-05,brain tumor,2160,770
0.5143629604596147,0.34622383985441313,0.34622383985441313,761,0,1437,BraTS2021_00003,99,2.994951319124084e-05,brain tumor,2198,761
0.49584026622296173,0.32964601769911506,0.32964601769911506,745,0,1515,BraTS2021_00003,100,3.8261237932601944e-05,brain tumor,2260,745
0.47206611570247936,0.3089571614019905,0.3089571614019905,714,0,1597,BraTS2021_00003,101,3.3522635931149125e-05,brain tumor,2311,714
0.4527687296416938,0.2926315789473684,0.2926315789473684,695,0,1680,BraTS2021_00003,102,3.9573318645125255e-05,brain tumor,2375,695
0.44579858883899937,0.28683450268262484,0.28683450268262484,695,0,1728,BraTS2021_00003,103,1.9057959434576333e-05,brain tumor,2423,695
0.43742098609355246,0.27993527508090615,0.27993527508090615,692,0,1780,BraTS2021_00003,104,6.159685290185735e-05,brain tumor,2472,692
0.4208530805687204,0.2665066026410564,0.2665066026410564,666,0,1833,BraTS2021_00003,105,6.429950008168817e-05,brain tumor,2499,666
0.3884113339700732,0.24101145792177006,0.24101145792177006,610,0,1921,BraTS2021_00003,106,4.735465336125344e-05,brain tumor,2531,610
0.36450992953235106,0.2228750489620055,0.2228750489620055,569,0,1984,BraTS2021_00003,107,0.0001035688110277988,brain tumor,2553,569
0.34065934065934067,0.2052980132450331,0.2052980132450331,527,0,2040,BraTS2021_00003,108,4.9038571887649596e-05,brain tumor,2567,527
0.29555997349237906,0.1734059097978227,0.1734059097978227,446,0,2126,BraTS2021_00003,109,5.20812209288124e-05,brain tumor,2572,446
0.21294363256784968,0.1191588785046729,0.1191588785046729,306,0,2262,BraTS2021_00003,110,5.641015013679862e-05,brain tumor,2568,306
0.1800071149057275,0.09890539483971852,0.09890539483971852,253,0,2305,BraTS2021_00003,111,6.886315532028675e-05,brain tumor,2558,253
0.13235831809872028,0.07086922474549726,0.07086922474549726,181,0,2373,BraTS2021_00003,112,0.00030454472289420664,brain tumor,2554,181
0.1179985063480209,0.0626984126984127,0.0626984126984127,158,0,2362,BraTS2021_00003,113,0.00020202032465022057,brain tumor,2520,158
0.10570987654320987,0.05580448065173116,0.05580448065173116,137,0,2318,BraTS2021_00003,114,0.00022513914154842496,brain tumor,2455,137
0.06227254346947028,0.03213689482470785,0.03213689482470785,77,0,2319,BraTS2021_00003,115,0.0027436905074864626,brain tumor,2396,77
0.057947019867549666,0.029838022165387893,0.029838022165387893,70,0,2276,BraTS2021_00003,116,0.004640425089746714,brain tumor,2346,70
0.04950917626973965,0.02538293216630197,0.02538293216630197,58,0,2227,BraTS2021_00003,117,0.00207100179977715,brain tumor,2285,58
0.03195739014647137,0.016238159675236806,0.016238159675236806,36,0,2181,BraTS2021_00003,118,0.0004240376001689583,brain tumor,2217,36
0.08028545941123996,0.041821561338289966,0.041821561338289966,90,0,2062,BraTS2021_00003,119,0.00021462180302478373,brain tumor,2152,90
0.3377336571971697,0.20317662007623888,0.765438008616563,1599,5781,490,BraTS2021_00003,120,2.0302719349274412e-05,brain tumor,2089,7380
0.3873104854121544,0.24016432295781323,0.7543424317617866,1520,4314,495,BraTS2021_00003,121,1.074064402928343e-05,brain tumor,2015,5834
0.36568904160019633,0.22375732091905692,0.7780678851174935,1490,4744,425,BraTS2021_00003,122,5.811593837279361e-06,brain tumor,1915,6234
0.3607224016265997,0.22004961330804026,0.8419877163595757,1508,5062,283,BraTS2021_00003,123,5.540295660466654e-06,brain tumor,1791,6570
0.12464589235127478,0.06646525679758308,0.06654567453115548,110,2,1543,BraTS2021_00003,124,2.0970934201614e-05,brain tumor,1653,112
0.8723072119887605,0.7735326688815061,0.9160655737704918,1397,281,128,BraTS2021_00003,125,1.0087681403092574e-05,brain tumor,1525,1678
0.8777506112469438,0.7821350762527233,0.9683074848280513,1436,353,47,BraTS2021_00003,126,1.9791017621173523e-05,brain tumor,1483,1789
0.45643672767089005,0.29570328334008916,0.9959044368600682,1459,3469,6,BraTS2021_00003,127,1.1214850928809028e-05,brain tumor,1465,4928
0.5098107310296927,0.3421113959450012,0.998639455782313,1468,2821,2,BraTS2021_00003,128,1.504218380432576e-05,brain tumor,1470,4289
